Streamflow (below node or reach listed)
"Scenario: MySimulation346, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ Foz Rio Urubu Regionalizado 2 (gauge)";"16 \ Reach"
21/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50695;2.50695;2.50695;2.50695;2.50695;0.903662;2.50695
22/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50771;2.50771;2.50771;2.50771;2.50771;0.903933;2.50771
23/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50845;2.50845;2.50845;2.50845;2.50845;0.848307;2.50845
24/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.85308;2.85308;2.85308;2.85308;2.85308;0.857815;2.85308
25/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.51359;2.51359;2.51359;2.51359;2.51359;0.914363;2.51359
26/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.51423;2.51423;2.51423;2.51423;2.51423;0.903933;2.51423
27/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.51484;2.51484;2.51484;2.51484;2.51484;0.903933;2.51484
28/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.51542;2.51542;2.51542;2.51542;2.51542;0.848307;2.51542
29/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.51596;2.51596;2.51596;2.51596;2.51596;0.8344;2.51596
30/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.57479;2.57479;2.57479;2.57479;2.57479;0.8344;2.57479
01/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.5165;2.5165;2.5165;2.5165;2.5165;0.8344;2.5165
02/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.54003;2.54003;2.54003;2.54003;2.54003;0.866385;2.54003
03/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.51886;2.51886;2.51886;2.51886;2.51886;0.909496;2.51886
04/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.54527;2.54527;2.54527;2.54527;2.54527;0.874729;2.54527
05/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.70948;2.70948;2.70948;2.70948;2.70948;0.856651;2.70948
06/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.52372;2.52372;2.52372;2.52372;2.52372;0.864299;2.52372
07/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.53753;2.53753;2.53753;2.53753;2.53753;0;2.53753
08/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.52649;2.52649;2.52649;2.52649;2.52649;0.851088;2.52649
09/10/2018; ;0;0;0;0;0;0;0;0;0;0;2.52761;2.52761;2.52761;2.52761;2.52761;0.8344;2.52761
10/10/2018; ;1.20145E-8;1.20145E-8;1.20145E-8;1.20145E-8;1.20145E-8;1.20145E-8;1.20145E-8;1.20145E-8;1.20145E-8;1.20145E-8;2.52786;2.52786;2.52786;2.52786;2.52786;0.833705;2.52786
11/10/2018; ;1.51338E-8;1.51338E-8;1.51338E-8;1.51338E-8;1.51338E-8;1.51338E-8;1.51338E-8;1.51338E-8;1.51338E-8;1.51338E-8;2.5281;2.5281;2.5281;2.5281;2.5281;0.819798;2.5281
12/10/2018; ;1.85596E-8;1.85596E-8;1.85596E-8;1.85596E-8;1.85596E-8;1.85596E-8;1.85596E-8;1.85596E-8;1.85596E-8;1.85596E-8;2.53201;2.53201;2.53201;2.53201;2.53201;0.630667;2.53201
