Streamflow (below node or reach listed)
"Scenario: MySimulation19, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
27/09/2018; ;2.21902;2.21902;2.21902;2.21902;2.21902;2.21902;2.21902;2.21902;2.21902;0.903933;1.96609;2.21902;9.16073;9.16073;9.16073;9.16073;9.16073;4.5915;9.16073
28/09/2018; ;2.26061;2.26061;2.26061;2.26061;2.26061;2.26061;2.26061;2.26061;2.26061;0.848307;2.01517;2.26061;9.17399;9.17399;9.17399;9.17399;9.17399;4.70612;9.17399
29/09/2018; ;2.30029;2.30029;2.30029;2.30029;2.30029;2.30029;2.30029;2.30029;2.30029;0.8344;2.01443;2.30029;9.18317;9.18317;9.18317;9.18317;9.18317;4.70438;9.18317
30/09/2018; ;2.31179;2.31179;2.31179;2.31179;2.31179;2.31179;2.31179;2.31179;2.31179;0.8344;2.00592;2.31179;9.24781;9.24781;9.24781;9.24781;9.24781;4.6845;9.24781
01/10/2018; ;2.07209;2.07209;2.07209;2.07209;2.07209;2.07209;2.07209;2.07209;2.07209;0.8344;1.98413;2.07209;8.01421;8.01421;8.01421;8.01421;8.01421;4.63362;8.01421
02/10/2018; ;2.06964;2.06964;2.06964;2.06964;2.06964;2.06964;2.06964;2.06964;2.06964;0.866385;2.01584;2.06964;8.06332;8.06332;8.06332;8.06332;8.06332;4.70767;8.06332
03/10/2018; ;2.0798;2.0798;2.0798;2.0798;2.0798;2.0798;2.0798;2.0798;2.0798;0.909496;2.03553;2.0798;8.03209;8.03209;8.03209;8.03209;8.03209;4.75366;8.03209
04/10/2018; ;2.09071;2.09071;2.09071;2.09071;2.09071;2.09071;2.09071;2.09071;2.09071;0.874729;3.38447;2.09071;8.07862;8.07862;8.07862;8.07862;8.07862;7.9039;8.07862
05/10/2018; ;2.08822;2.08822;2.08822;2.08822;2.08822;2.08822;2.08822;2.08822;2.08822;0.856651;3.62417;2.08822;8.31454;8.31454;8.31454;8.31454;8.31454;8.46368;8.31454
06/10/2018; ;2.13109;2.13109;2.13109;2.13109;2.13109;2.13109;2.13109;2.13109;2.13109;0.864299;3.39213;2.13109;8.11644;8.11644;8.11644;8.11644;8.11644;7.92179;8.11644
